iter	Passed	Remaining
0	164	81255
1	171	42191
2	185	30326
3	192	23524
4	198	19444
5	205	16698
6	213	14834
7	219	13311
8	225	12143
9	231	11197
10	237	10420
11	243	9768
12	248	9208
13	254	8729
14	260	8309
15	265	7938
16	271	7614
17	276	7319
18	282	7059
19	287	6823
20	293	6610
21	299	6415
22	305	6247
23	310	6072
24	316	5933
25	322	5799
26	328	5681
27	334	5560
28	339	5445
29	345	5342
30	351	5256
31	357	5164
32	364	5095
33	370	5014
34	377	4946
35	384	4890
36	390	4818
37	397	4765
38	403	4701
39	409	4645
40	415	4586
41	420	4530
42	427	4483
43	433	4438
44	440	4391
45	445	4343
46	452	4298
47	458	4256
48	463	4207
49	469	4166
50	474	4125
51	480	4086
52	486	4050
53	492	4015
54	498	3978
55	504	3944
56	509	3909
57	515	3878
58	521	3846
59	528	3819
60	534	3795
61	540	3765
62	546	3739
63	553	3720
64	559	3693
65	566	3670
66	571	3642
67	577	3618
68	583	3594
69	589	3570
70	595	3547
71	601	3524
72	606	3500
73	613	3479
74	618	3457
75	624	3436
76	630	3414
77	636	3392
78	642	3373
79	647	3352
80	653	3331
81	659	3311
82	664	3291
83	670	3271
84	675	3252
85	681	3233
86	687	3214
87	692	3196
88	699	3182
89	705	3169
90	712	3153
91	717	3136
92	725	3127
93	731	3111
94	737	3095
95	743	3082
96	750	3070
97	755	3054
98	761	3037
99	766	3020
100	772	3004
101	778	2990
102	783	2975
103	789	2961
104	795	2947
105	801	2935
106	808	2922
107	813	2908
108	819	2895
109	825	2881
110	831	2868
111	837	2854
112	842	2841
113	848	2829
114	854	2814
115	859	2802
116	865	2790
117	871	2777
118	878	2768
119	885	2759
120	891	2747
121	899	2742
122	905	2731
123	913	2725
124	919	2713
125	925	2702
126	930	2690
127	937	2679
128	943	2669
129	948	2656
130	954	2645
131	960	2634
132	966	2623
133	972	2612
134	977	2600
135	983	2589
136	989	2579
137	995	2568
138	1002	2559
139	1008	2549
140	1014	2538
141	1019	2527
142	1025	2516
143	1031	2506
144	1037	2497
145	1043	2487
146	1050	2479
147	1056	2469
148	1063	2461
149	1070	2454
150	1075	2444
151	1081	2434
152	1088	2425
153	1093	2414
154	1099	2405
155	1105	2395
156	1111	2384
157	1116	2374
158	1122	2364
159	1127	2354
160	1133	2345
161	1139	2335
162	1145	2326
163	1151	2317
164	1157	2308
165	1165	2301
166	1171	2293
167	1177	2285
168	1184	2277
169	1190	2268
170	1197	2261
171	1202	2251
172	1209	2243
173	1215	2235
174	1222	2227
175	1228	2220
176	1235	2212
177	1242	2205
178	1249	2198
179	1255	2190
180	1262	2183
181	1268	2175
182	1276	2169
183	1282	2160
184	1287	2151
185	1293	2141
186	1298	2132
187	1304	2122
188	1309	2113
189	1316	2105
190	1321	2097
191	1328	2089
192	1334	2081
193	1340	2073
194	1346	2064
195	1352	2055
196	1357	2047
197	1363	2038
198	1368	2029
199	1375	2021
200	1380	2012
201	1386	2003
202	1391	1994
203	1396	1985
204	1402	1977
205	1408	1968
206	1414	1961
207	1421	1953
208	1426	1945
209	1433	1938
210	1438	1929
211	1443	1920
212	1449	1912
213	1455	1903
214	1460	1895
215	1466	1887
216	1471	1879
217	1477	1871
218	1483	1863
219	1489	1854
220	1496	1848
221	1502	1840
222	1507	1832
223	1515	1827
224	1521	1818
225	1530	1815
226	1536	1807
227	1544	1801
228	1550	1794
229	1557	1787
230	1563	1780
231	1569	1772
232	1577	1767
233	1583	1759
234	1591	1754
235	1598	1747
236	1606	1741
237	1612	1734
238	1620	1729
239	1626	1721
240	1633	1715
241	1642	1710
242	1648	1702
243	1656	1697
244	1663	1690
245	1672	1686
246	1679	1679
247	1687	1674
248	1694	1666
249	1703	1662
250	1709	1654
251	1717	1649
252	1724	1642
253	1732	1636
254	1738	1629
255	1744	1622
256	1752	1616
257	1758	1608
258	1766	1602
259	1772	1595
260	1779	1588
261	1786	1581
262	1792	1574
263	1798	1566
264	1804	1559
265	1810	1551
266	1816	1544
267	1821	1536
268	1827	1528
269	1833	1521
270	1839	1513
271	1845	1506
272	1851	1499
273	1857	1491
274	1863	1483
275	1869	1476
276	1874	1468
277	1880	1460
278	1886	1453
279	1891	1445
280	1897	1438
281	1903	1431
282	1909	1423
283	1914	1415
284	1920	1408
285	1926	1401
286	1933	1394
287	1939	1387
288	1945	1380
289	1951	1372
290	1958	1366
291	1964	1359
292	1970	1351
293	1976	1344
294	1983	1337
295	1989	1330
296	1994	1323
297	2003	1317
298	2008	1310
299	2017	1304
300	2023	1297
